Defect_ID,Defect_Type,Machine_ID,Production_Line,Defect_Date,Root_Cause,Resolution_Comment,Resolved_Date
D1090,Dimension Out of Tolerance,MCH-382,Line-1,2025-02-07,Worn-out die,Secured wiring and scheduled preventive inspection,2025-02-10
D1091,Dimension Out of Tolerance,MCH-217,Line-3,2025-01-18,Operator error,Secured wiring and scheduled preventive inspection,2025-01-22
D1092,Welding Porosity,MCH-254,Line-3,2025-02-27,Loose wiring,Replaced seal and added pressure monitoring,2025-02-28
D1093,Paint Peeling,MCH-330,Line-5,2025-02-27,Improper calibration,Adjusted machine alignment and replaced worn-out bearings,2025-02-28
D1094,Electrical Failure,MCH-317,Line-3,2025-07-09,Coolant shortage,Secured wiring and scheduled preventive inspection,2025-07-11
D1095,Surface Crack,MCH-227,Line-1,2025-01-05,Improper calibration,Replaced cutting tool and added tool inspection schedule,2025-01-06
D1096,Loose Assembly,MCH-208,Line-1,2025-05-07,Worn-out die,Replaced seal and added pressure monitoring,2025-05-11
D1097,Leakage,MCH-345,Line-4,2025-02-04,High machine vibration,Introduced torque check checklist and operator training,2025-02-05
D1098,Electrical Failure,MCH-390,Line-5,2025-09-08,Seal failure,Calibrated equipment and updated calibration logs,2025-09-11
D1099,Welding Porosity,MCH-136,Line-5,2025-07-02,High machine vibration,Refilled coolant tank and fixed coolant flow sensor,2025-07-05
D1100,Welding Porosity,MCH-400,Line-4,2025-08-15,Worn-out die,Polished die and added regular inspection routine,2025-08-20
D1101,Dimension Out of Tolerance,MCH-485,Line-1,2025-02-15,Coolant shortage,Refilled coolant tank and fixed coolant flow sensor,2025-02-18
D1102,Loose Assembly,MCH-457,Line-2,2025-05-23,Tool wear,Adjusted machine alignment and replaced worn-out bearings,2025-05-28
D1103,Electrical Failure,MCH-315,Line-2,2025-02-15,Seal failure,Refilled coolant tank and fixed coolant flow sensor,2025-02-16
D1104,Electrical Failure,MCH-138,Line-2,2025-09-05,Tool wear,Calibrated equipment and updated calibration logs,2025-09-09
D1105,Surface Crack,MCH-264,Line-1,2025-06-12,Improper calibration,Replaced seal and added pressure monitoring,2025-06-16
D1106,Paint Peeling,MCH-311,Line-1,2025-08-15,High machine vibration,Adjusted machine alignment and replaced worn-out bearings,2025-08-20
D1107,Welding Porosity,MCH-247,Line-2,2025-03-23,Improper curing temperature,Calibrated equipment and updated calibration logs,2025-03-26
D1108,Electrical Failure,MCH-302,Line-1,2025-08-26,Loose wiring,Replaced seal and added pressure monitoring,2025-08-31
D1109,Electrical Failure,MCH-211,Line-2,2025-05-25,High machine vibration,Replaced cutting tool and added tool inspection schedule,2025-05-30
D1110,Leakage,MCH-359,Line-2,2025-04-27,High machine vibration,Adjusted machine alignment and replaced worn-out bearings,2025-04-28
D1111,Loose Assembly,MCH-411,Line-5,2025-05-22,High machine vibration,Introduced torque check checklist and operator training,2025-05-27
D1112,Misalignment,MCH-350,Line-2,2025-07-03,Gas flow inconsistency,Calibrated oven temperature and added monitoring alert,2025-07-04
D1113,Dimension Out of Tolerance,MCH-256,Line-4,2025-03-18,Operator error,Introduced torque check checklist and operator training,2025-03-22
D1114,Electrical Failure,MCH-492,Line-2,2025-05-24,High machine vibration,Adjusted machine alignment and replaced worn-out bearings,2025-05-29
D1115,Dimension Out of Tolerance,MCH-285,Line-2,2025-07-07,Tool wear,Replaced gas regulator and trained operator,2025-07-12
D1116,Misalignment,MCH-274,Line-4,2025-05-19,Operator error,Adjusted machine alignment and replaced worn-out bearings,2025-05-24
D1117,Leakage,MCH-275,Line-2,2025-08-20,Seal failure,Replaced gas regulator and trained operator,2025-08-21
D1118,Overheating,MCH-347,Line-2,2025-07-08,Gas flow inconsistency,Calibrated equipment and updated calibration logs,2025-07-13
D1119,Loose Assembly,MCH-125,Line-1,2025-03-06,Loose wiring,Replaced cutting tool and added tool inspection schedule,2025-03-09
D1120,Leakage,MCH-207,Line-1,2025-05-21,Operator error,Calibrated oven temperature and added monitoring alert,2025-05-22
D1121,Dimension Out of Tolerance,MCH-337,Line-2,2025-05-14,Improper calibration,Secured wiring and scheduled preventive inspection,2025-05-18
D1122,Leakage,MCH-112,Line-1,2025-08-10,Coolant shortage,Adjusted machine alignment and replaced worn-out bearings,2025-08-14
D1123,Leakage,MCH-350,Line-3,2025-02-04,Tool wear,Replaced cutting tool and added tool inspection schedule,2025-02-09
D1124,Misalignment,MCH-334,Line-1,2025-08-14,Improper calibration,Replaced cutting tool and added tool inspection schedule,2025-08-18
D1125,Paint Peeling,MCH-382,Line-1,2025-06-11,Coolant shortage,Secured wiring and scheduled preventive inspection,2025-06-13
D1126,Burr Formation,MCH-266,Line-1,2025-07-30,Coolant shortage,Replaced seal and added pressure monitoring,2025-08-02
D1127,Welding Porosity,MCH-423,Line-5,2025-07-24,Tool wear,Adjusted machine alignment and replaced worn-out bearings,2025-07-25
D1128,Loose Assembly,MCH-118,Line-4,2025-05-13,Operator error,Calibrated equipment and updated calibration logs,2025-05-16
D1129,Burr Formation,MCH-476,Line-3,2025-03-14,Improper curing temperature,Replaced cutting tool and added tool inspection schedule,2025-03-16
D1130,Electrical Failure,MCH-126,Line-3,2025-05-16,Loose wiring,Calibrated equipment and updated calibration logs,2025-05-19
D1131,Overheating,MCH-337,Line-1,2025-03-03,Improper curing temperature,Replaced seal and added pressure monitoring,2025-03-06
D1132,Loose Assembly,MCH-251,Line-4,2025-06-09,Gas flow inconsistency,Calibrated equipment and updated calibration logs,2025-06-12
D1133,Paint Peeling,MCH-299,Line-4,2025-07-31,Improper curing temperature,Calibrated equipment and updated calibration logs,2025-08-02
D1134,Electrical Failure,MCH-403,Line-4,2025-08-19,High machine vibration,Polished die and added regular inspection routine,2025-08-23
D1135,Electrical Failure,MCH-451,Line-2,2025-05-19,Loose wiring,Replaced gas regulator and trained operator,2025-05-20
D1136,Leakage,MCH-283,Line-3,2025-02-12,Coolant shortage,Replaced gas regulator and trained operator,2025-02-17
D1137,Welding Porosity,MCH-415,Line-5,2025-08-29,Worn-out die,Calibrated oven temperature and added monitoring alert,2025-09-02
D1138,Electrical Failure,MCH-123,Line-2,2025-04-25,Coolant shortage,Calibrated oven temperature and added monitoring alert,2025-04-29
D1139,Surface Crack,MCH-391,Line-2,2025-06-17,Seal failure,Calibrated oven temperature and added monitoring alert,2025-06-19
D1140,Overheating,MCH-424,Line-3,2025-06-18,High machine vibration,Replaced cutting tool and added tool inspection schedule,2025-06-22
D1141,Electrical Failure,MCH-159,Line-2,2025-05-13,High machine vibration,Calibrated equipment and updated calibration logs,2025-05-18
D1142,Electrical Failure,MCH-470,Line-2,2025-03-18,Seal failure,Replaced gas regulator and trained operator,2025-03-20
D1143,Misalignment,MCH-248,Line-1,2025-04-06,Coolant shortage,Polished die and added regular inspection routine,2025-04-08
D1144,Electrical Failure,MCH-414,Line-4,2025-02-03,Gas flow inconsistency,Replaced seal and added pressure monitoring,2025-02-07
D1145,Paint Peeling,MCH-381,Line-5,2025-01-21,Tool wear,Calibrated oven temperature and added monitoring alert,2025-01-25
D1146,Loose Assembly,MCH-319,Line-1,2025-01-07,Improper calibration,Replaced cutting tool and added tool inspection schedule,2025-01-09
D1147,Loose Assembly,MCH-211,Line-1,2025-09-18,Improper curing temperature,Secured wiring and scheduled preventive inspection,2025-09-19
D1148,Misalignment,MCH-120,Line-5,2025-07-29,Loose wiring,Adjusted machine alignment and replaced worn-out bearings,2025-08-01
D1149,Leakage,MCH-380,Line-1,2025-04-08,Improper curing temperature,Introduced torque check checklist and operator training,2025-04-12
D1150,Burr Formation,MCH-245,Line-5,2025-06-14,Improper curing temperature,Adjusted machine alignment and replaced worn-out bearings,2025-06-19
D1151,Burr Formation,MCH-464,Line-3,2025-04-28,Operator error,Secured wiring and scheduled preventive inspection,2025-05-02
D1152,Loose Assembly,MCH-224,Line-2,2025-08-29,Gas flow inconsistency,Replaced gas regulator and trained operator,2025-09-01
D1153,Paint Peeling,MCH-382,Line-3,2025-03-01,Improper curing temperature,Refilled coolant tank and fixed coolant flow sensor,2025-03-03
D1154,Overheating,MCH-397,Line-1,2025-08-13,Worn-out die,Adjusted machine alignment and replaced worn-out bearings,2025-08-17
D1155,Overheating,MCH-329,Line-2,2025-01-29,Tool wear,Replaced gas regulator and trained operator,2025-02-03
D1156,Burr Formation,MCH-487,Line-5,2025-08-07,Worn-out die,Adjusted machine alignment and replaced worn-out bearings,2025-08-11
D1157,Burr Formation,MCH-362,Line-5,2025-05-22,Worn-out die,Replaced seal and added pressure monitoring,2025-05-26
D1158,Dimension Out of Tolerance,MCH-397,Line-5,2025-03-15,Worn-out die,Adjusted machine alignment and replaced worn-out bearings,2025-03-20
D1159,Surface Crack,MCH-191,Line-4,2025-05-13,High machine vibration,Calibrated equipment and updated calibration logs,2025-05-16
D1160,Burr Formation,MCH-485,Line-4,2025-04-06,Improper curing temperature,Replaced gas regulator and trained operator,2025-04-10
D1161,Electrical Failure,MCH-362,Line-2,2025-02-26,Coolant shortage,Secured wiring and scheduled preventive inspection,2025-03-03
D1162,Paint Peeling,MCH-393,Line-2,2025-05-04,Seal failure,Replaced gas regulator and trained operator,2025-05-09
D1163,Paint Peeling,MCH-263,Line-5,2025-08-28,Gas flow inconsistency,Calibrated oven temperature and added monitoring alert,2025-09-02
D1164,Misalignment,MCH-364,Line-4,2025-04-02,Improper calibration,Adjusted machine alignment and replaced worn-out bearings,2025-04-07
D1165,Misalignment,MCH-334,Line-1,2025-08-16,Loose wiring,Replaced cutting tool and added tool inspection schedule,2025-08-21
D1166,Electrical Failure,MCH-299,Line-2,2025-01-15,High machine vibration,Refilled coolant tank and fixed coolant flow sensor,2025-01-16
D1167,Dimension Out of Tolerance,MCH-253,Line-3,2025-04-23,Coolant shortage,Replaced gas regulator and trained operator,2025-04-26
D1168,Electrical Failure,MCH-284,Line-3,2025-05-18,Gas flow inconsistency,Refilled coolant tank and fixed coolant flow sensor,2025-05-23
D1169,Dimension Out of Tolerance,MCH-184,Line-3,2025-05-09,Seal failure,Replaced cutting tool and added tool inspection schedule,2025-05-10
D1170,Paint Peeling,MCH-214,Line-4,2025-03-20,Loose wiring,Adjusted machine alignment and replaced worn-out bearings,2025-03-24
D1171,Paint Peeling,MCH-277,Line-4,2025-03-25,Improper curing temperature,Replaced seal and added pressure monitoring,2025-03-29
D1172,Burr Formation,MCH-357,Line-1,2025-07-29,Loose wiring,Introduced torque check checklist and operator training,2025-08-01
D1173,Misalignment,MCH-465,Line-5,2025-03-24,Operator error,Replaced seal and added pressure monitoring,2025-03-25
D1174,Overheating,MCH-483,Line-5,2025-02-17,Tool wear,Calibrated equipment and updated calibration logs,2025-02-22
D1175,Paint Peeling,MCH-380,Line-5,2025-07-08,Loose wiring,Introduced torque check checklist and operator training,2025-07-09
D1176,Overheating,MCH-347,Line-2,2025-04-26,Improper curing temperature,Refilled coolant tank and fixed coolant flow sensor,2025-04-28
D1177,Dimension Out of Tolerance,MCH-405,Line-4,2025-02-14,Tool wear,Refilled coolant tank and fixed coolant flow sensor,2025-02-19
D1178,Loose Assembly,MCH-356,Line-5,2025-06-26,Improper curing temperature,Introduced torque check checklist and operator training,2025-06-30
D1179,Paint Peeling,MCH-478,Line-3,2025-03-10,Gas flow inconsistency,Introduced torque check checklist and operator training,2025-03-12
D1180,Overheating,MCH-123,Line-4,2025-07-25,Tool wear,Refilled coolant tank and fixed coolant flow sensor,2025-07-29
D1181,Welding Porosity,MCH-185,Line-4,2025-06-16,Seal failure,Polished die and added regular inspection routine,2025-06-18
D1182,Burr Formation,MCH-209,Line-2,2025-05-17,Improper curing temperature,Calibrated equipment and updated calibration logs,2025-05-22
D1183,Surface Crack,MCH-415,Line-5,2025-08-22,Improper curing temperature,Adjusted machine alignment and replaced worn-out bearings,2025-08-26
D1184,Electrical Failure,MCH-457,Line-3,2025-07-30,Loose wiring,Calibrated equipment and updated calibration logs,2025-08-04
D1185,Welding Porosity,MCH-317,Line-3,2025-07-13,Improper calibration,Calibrated oven temperature and added monitoring alert,2025-07-14
D1186,Surface Crack,MCH-261,Line-3,2025-01-17,Loose wiring,Calibrated equipment and updated calibration logs,2025-01-19
D1187,Welding Porosity,MCH-393,Line-5,2025-05-09,High machine vibration,Replaced gas regulator and trained operator,2025-05-13
D1188,Electrical Failure,MCH-145,Line-2,2025-01-08,Gas flow inconsistency,Calibrated equipment and updated calibration logs,2025-01-09
D1189,Leakage,MCH-143,Line-5,2025-06-24,Coolant shortage,Polished die and added regular inspection routine,2025-06-27
D1190,Surface Crack,MCH-147,Line-3,2025-08-18,Worn-out die,Introduced torque check checklist and operator training,2025-08-21
D1191,Surface Crack,MCH-114,Line-2,2025-04-20,Improper curing temperature,Secured wiring and scheduled preventive inspection,2025-04-22
D1192,Dimension Out of Tolerance,MCH-474,Line-3,2025-03-09,Loose wiring,Refilled coolant tank and fixed coolant flow sensor,2025-03-11
D1193,Paint Peeling,MCH-250,Line-2,2025-01-17,Improper curing temperature,Calibrated equipment and updated calibration logs,2025-01-22
D1194,Loose Assembly,MCH-305,Line-5,2025-05-03,Improper curing temperature,Refilled coolant tank and fixed coolant flow sensor,2025-05-08
D1195,Surface Crack,MCH-165,Line-2,2025-03-29,Loose wiring,Replaced cutting tool and added tool inspection schedule,2025-04-01
D1196,Electrical Failure,MCH-119,Line-4,2025-03-25,Loose wiring,Secured wiring and scheduled preventive inspection,2025-03-30
D1197,Overheating,MCH-323,Line-2,2025-07-11,Operator error,Replaced seal and added pressure monitoring,2025-07-12
D1198,Paint Peeling,MCH-163,Line-3,2025-06-26,Tool wear,Calibrated equipment and updated calibration logs,2025-06-27
D1199,Surface Crack,MCH-416,Line-2,2025-03-02,High machine vibration,Secured wiring and scheduled preventive inspection,2025-03-05
D1200,Paint Peeling,MCH-441,Line-2,2025-02-16,Loose wiring,Replaced gas regulator and trained operator,2025-02-19
D1201,Dimension Out of Tolerance,MCH-416,Line-3,2025-07-23,Coolant shortage,Calibrated equipment and updated calibration logs,2025-07-28
D1202,Surface Crack,MCH-115,Line-3,2025-03-01,Improper calibration,Calibrated equipment and updated calibration logs,2025-03-02
D1203,Leakage,MCH-379,Line-3,2025-07-06,High machine vibration,Calibrated equipment and updated calibration logs,2025-07-11
D1204,Leakage,MCH-263,Line-1,2025-01-04,Gas flow inconsistency,Secured wiring and scheduled preventive inspection,2025-01-09
D1205,Paint Peeling,MCH-147,Line-1,2025-07-24,Improper curing temperature,Introduced torque check checklist and operator training,2025-07-27
D1206,Misalignment,MCH-174,Line-2,2025-09-10,Seal failure,Replaced seal and added pressure monitoring,2025-09-12
D1207,Electrical Failure,MCH-116,Line-3,2025-08-06,Tool wear,Introduced torque check checklist and operator training,2025-08-08
D1208,Overheating,MCH-133,Line-3,2025-06-11,Tool wear,Replaced gas regulator and trained operator,2025-06-12
D1209,Burr Formation,MCH-248,Line-2,2025-03-23,Coolant shortage,Refilled coolant tank and fixed coolant flow sensor,2025-03-26
D1210,Misalignment,MCH-216,Line-3,2025-01-19,Worn-out die,Replaced seal and added pressure monitoring,2025-01-20
D1211,Paint Peeling,MCH-148,Line-4,2025-01-20,Tool wear,Replaced cutting tool and added tool inspection schedule,2025-01-21
D1212,Electrical Failure,MCH-432,Line-5,2025-02-06,Operator error,Introduced torque check checklist and operator training,2025-02-07
D1213,Overheating,MCH-108,Line-4,2025-08-23,Coolant shortage,Refilled coolant tank and fixed coolant flow sensor,2025-08-26
D1214,Overheating,MCH-464,Line-1,2025-03-16,High machine vibration,Calibrated equipment and updated calibration logs,2025-03-17
D1215,Overheating,MCH-141,Line-3,2025-01-10,Operator error,Refilled coolant tank and fixed coolant flow sensor,2025-01-12
D1216,Surface Crack,MCH-142,Line-1,2025-05-01,Operator error,Calibrated oven temperature and added monitoring alert,2025-05-05
D1217,Dimension Out of Tolerance,MCH-234,Line-4,2025-01-23,Improper calibration,Calibrated equipment and updated calibration logs,2025-01-25
D1218,Surface Crack,MCH-220,Line-5,2025-01-20,Improper curing temperature,Calibrated equipment and updated calibration logs,2025-01-22
D1219,Burr Formation,MCH-466,Line-4,2025-01-04,Loose wiring,Replaced cutting tool and added tool inspection schedule,2025-01-09
D1220,Burr Formation,MCH-479,Line-5,2025-09-09,Improper calibration,Replaced seal and added pressure monitoring,2025-09-13
D1221,Surface Crack,MCH-290,Line-3,2025-04-03,Seal failure,Refilled coolant tank and fixed coolant flow sensor,2025-04-04
D1222,Loose Assembly,MCH-295,Line-5,2025-02-07,Coolant shortage,Refilled coolant tank and fixed coolant flow sensor,2025-02-11
D1223,Overheating,MCH-108,Line-1,2025-06-23,Improper calibration,Replaced seal and added pressure monitoring,2025-06-27
D1224,Leakage,MCH-112,Line-5,2025-04-28,Seal failure,Secured wiring and scheduled preventive inspection,2025-05-03
D1225,Leakage,MCH-484,Line-4,2025-03-12,Seal failure,Calibrated equipment and updated calibration logs,2025-03-13
D1226,Electrical Failure,MCH-460,Line-5,2025-08-21,Seal failure,Introduced torque check checklist and operator training,2025-08-25
D1227,Surface Crack,MCH-482,Line-4,2025-01-18,Operator error,Calibrated oven temperature and added monitoring alert,2025-01-23
D1228,Electrical Failure,MCH-363,Line-2,2025-05-31,High machine vibration,Polished die and added regular inspection routine,2025-06-02
D1229,Leakage,MCH-263,Line-1,2025-07-23,High machine vibration,Calibrated oven temperature and added monitoring alert,2025-07-24
D1230,Overheating,MCH-266,Line-3,2025-03-10,Seal failure,Introduced torque check checklist and operator training,2025-03-14
D1231,Dimension Out of Tolerance,MCH-426,Line-3,2025-05-09,Seal failure,Calibrated equipment and updated calibration logs,2025-05-14
D1232,Welding Porosity,MCH-306,Line-3,2025-01-06,Improper calibration,Polished die and added regular inspection routine,2025-01-11
D1233,Loose Assembly,MCH-463,Line-3,2025-04-13,Improper curing temperature,Replaced seal and added pressure monitoring,2025-04-15
D1234,Leakage,MCH-291,Line-1,2025-07-24,Improper curing temperature,Calibrated equipment and updated calibration logs,2025-07-25
D1235,Surface Crack,MCH-423,Line-5,2025-07-15,Seal failure,Replaced cutting tool and added tool inspection schedule,2025-07-20
D1236,Surface Crack,MCH-354,Line-5,2025-06-12,Improper calibration,Replaced gas regulator and trained operator,2025-06-15
D1237,Misalignment,MCH-183,Line-5,2025-01-01,Tool wear,Introduced torque check checklist and operator training,2025-01-05
D1238,Surface Crack,MCH-293,Line-1,2025-06-13,Worn-out die,Replaced cutting tool and added tool inspection schedule,2025-06-18
D1239,Misalignment,MCH-416,Line-4,2025-06-05,Gas flow inconsistency,Adjusted machine alignment and replaced worn-out bearings,2025-06-08
D1240,Loose Assembly,MCH-480,Line-5,2025-05-02,Worn-out die,Refilled coolant tank and fixed coolant flow sensor,2025-05-06
D1241,Welding Porosity,MCH-401,Line-3,2025-06-04,Operator error,Replaced gas regulator and trained operator,2025-06-06
D1242,Burr Formation,MCH-169,Line-1,2025-04-18,Tool wear,Adjusted machine alignment and replaced worn-out bearings,2025-04-22
D1243,Misalignment,MCH-180,Line-4,2025-02-15,Improper calibration,Calibrated equipment and updated calibration logs,2025-02-17
D1244,Misalignment,MCH-197,Line-2,2025-03-01,Seal failure,Replaced seal and added pressure monitoring,2025-03-03
D1245,Paint Peeling,MCH-475,Line-5,2025-05-21,Improper calibration,Calibrated oven temperature and added monitoring alert,2025-05-22
D1246,Electrical Failure,MCH-252,Line-5,2025-03-25,Improper calibration,Replaced cutting tool and added tool inspection schedule,2025-03-27
D1247,Welding Porosity,MCH-286,Line-1,2025-01-14,Improper calibration,Introduced torque check checklist and operator training,2025-01-15
D1248,Loose Assembly,MCH-392,Line-5,2025-09-17,Seal failure,Refilled coolant tank and fixed coolant flow sensor,2025-09-21
D1249,Loose Assembly,MCH-286,Line-1,2025-07-29,High machine vibration,Calibrated oven temperature and added monitoring alert,2025-08-01
D1250,Paint Peeling,MCH-385,Line-5,2025-04-07,Worn-out die,Adjusted machine alignment and replaced worn-out bearings,2025-04-12
D1251,Dimension Out of Tolerance,MCH-218,Line-1,2025-04-24,Gas flow inconsistency,Replaced seal and added pressure monitoring,2025-04-28
D1252,Surface Crack,MCH-363,Line-3,2025-06-29,Seal failure,Adjusted machine alignment and replaced worn-out bearings,2025-07-02
D1253,Surface Crack,MCH-445,Line-2,2025-06-28,Tool wear,Polished die and added regular inspection routine,2025-07-01
D1254,Misalignment,MCH-365,Line-5,2025-09-10,Coolant shortage,Calibrated oven temperature and added monitoring alert,2025-09-12
D1255,Overheating,MCH-447,Line-4,2025-04-16,Improper curing temperature,Replaced seal and added pressure monitoring,2025-04-21
D1256,Burr Formation,MCH-204,Line-5,2025-01-08,Improper calibration,Introduced torque check checklist and operator training,2025-01-13
D1257,Leakage,MCH-487,Line-2,2025-02-17,Gas flow inconsistency,Adjusted machine alignment and replaced worn-out bearings,2025-02-20
D1258,Paint Peeling,MCH-489,Line-2,2025-03-19,Coolant shortage,Calibrated equipment and updated calibration logs,2025-03-22
D1259,Electrical Failure,MCH-229,Line-4,2025-04-05,Operator error,Calibrated oven temperature and added monitoring alert,2025-04-08
D1260,Dimension Out of Tolerance,MCH-322,Line-5,2025-04-16,Loose wiring,Replaced cutting tool and added tool inspection schedule,2025-04-17
D1261,Misalignment,MCH-169,Line-2,2025-05-06,Gas flow inconsistency,Replaced cutting tool and added tool inspection schedule,2025-05-09
D1262,Welding Porosity,MCH-161,Line-5,2025-01-02,Improper calibration,Refilled coolant tank and fixed coolant flow sensor,2025-01-06
D1263,Overheating,MCH-487,Line-4,2025-08-09,Worn-out die,Refilled coolant tank and fixed coolant flow sensor,2025-08-14
D1264,Surface Crack,MCH-440,Line-5,2025-07-23,Loose wiring,Replaced cutting tool and added tool inspection schedule,2025-07-25
D1265,Misalignment,MCH-448,Line-2,2025-07-13,High machine vibration,Refilled coolant tank and fixed coolant flow sensor,2025-07-15
D1266,Overheating,MCH-216,Line-1,2025-05-28,Improper calibration,Replaced gas regulator and trained operator,2025-05-30
D1267,Misalignment,MCH-142,Line-4,2025-08-05,Loose wiring,Secured wiring and scheduled preventive inspection,2025-08-10
D1268,Leakage,MCH-147,Line-4,2025-07-18,High machine vibration,Replaced gas regulator and trained operator,2025-07-22
D1269,Paint Peeling,MCH-318,Line-5,2025-01-18,Coolant shortage,Replaced gas regulator and trained operator,2025-01-19
D1270,Loose Assembly,MCH-340,Line-1,2025-01-11,Loose wiring,Polished die and added regular inspection routine,2025-01-15
D1271,Misalignment,MCH-241,Line-4,2025-07-15,Seal failure,Calibrated oven temperature and added monitoring alert,2025-07-20
D1272,Paint Peeling,MCH-396,Line-2,2025-02-07,Seal failure,Calibrated equipment and updated calibration logs,2025-02-12
D1273,Electrical Failure,MCH-142,Line-1,2025-04-27,Tool wear,Calibrated oven temperature and added monitoring alert,2025-04-28
D1274,Misalignment,MCH-203,Line-5,2025-05-30,Coolant shortage,Refilled coolant tank and fixed coolant flow sensor,2025-06-04
D1275,Overheating,MCH-135,Line-2,2025-04-19,Worn-out die,Replaced cutting tool and added tool inspection schedule,2025-04-24
D1276,Misalignment,MCH-226,Line-3,2025-02-24,Coolant shortage,Refilled coolant tank and fixed coolant flow sensor,2025-02-27
D1277,Burr Formation,MCH-450,Line-2,2025-02-12,Tool wear,Polished die and added regular inspection routine,2025-02-16
D1278,Electrical Failure,MCH-128,Line-5,2025-02-24,Worn-out die,Introduced torque check checklist and operator training,2025-02-27
D1279,Electrical Failure,MCH-205,Line-2,2025-03-04,Improper calibration,Polished die and added regular inspection routine,2025-03-09
D1280,Dimension Out of Tolerance,MCH-192,Line-4,2025-05-01,Gas flow inconsistency,Replaced seal and added pressure monitoring,2025-05-03
D1281,Loose Assembly,MCH-439,Line-5,2025-07-13,High machine vibration,Calibrated equipment and updated calibration logs,2025-07-14
D1282,Overheating,MCH-435,Line-4,2025-06-02,Improper curing temperature,Introduced torque check checklist and operator training,2025-06-07
D1283,Misalignment,MCH-168,Line-2,2025-02-09,Improper curing temperature,Introduced torque check checklist and operator training,2025-02-11
D1284,Electrical Failure,MCH-300,Line-5,2025-06-10,Coolant shortage,Secured wiring and scheduled preventive inspection,2025-06-14
D1285,Misalignment,MCH-286,Line-1,2025-02-03,Improper calibration,Replaced gas regulator and trained operator,2025-02-08
D1286,Leakage,MCH-276,Line-5,2025-08-23,Loose wiring,Replaced seal and added pressure monitoring,2025-08-26
D1287,Overheating,MCH-427,Line-5,2025-03-25,Loose wiring,Adjusted machine alignment and replaced worn-out bearings,2025-03-30
D1288,Misalignment,MCH-237,Line-5,2025-08-30,Gas flow inconsistency,Calibrated equipment and updated calibration logs,2025-08-31
D1289,Dimension Out of Tolerance,MCH-314,Line-2,2025-01-16,High machine vibration,Replaced seal and added pressure monitoring,2025-01-18
D1290,Dimension Out of Tolerance,MCH-450,Line-3,2025-06-25,Gas flow inconsistency,Replaced seal and added pressure monitoring,2025-06-27
D1291,Paint Peeling,MCH-134,Line-5,2025-06-20,High machine vibration,Replaced cutting tool and added tool inspection schedule,2025-06-21
D1292,Paint Peeling,MCH-413,Line-1,2025-09-03,Loose wiring,Replaced gas regulator and trained operator,2025-09-06
D1293,Dimension Out of Tolerance,MCH-389,Line-1,2025-04-14,Seal failure,Calibrated equipment and updated calibration logs,2025-04-19
D1294,Misalignment,MCH-290,Line-4,2025-02-18,Loose wiring,Adjusted machine alignment and replaced worn-out bearings,2025-02-20
D1295,Surface Crack,MCH-294,Line-3,2025-06-29,Improper curing temperature,Replaced cutting tool and added tool inspection schedule,2025-07-03
D1296,Burr Formation,MCH-109,Line-4,2025-08-30,Worn-out die,Refilled coolant tank and fixed coolant flow sensor,2025-09-04
D1297,Leakage,MCH-142,Line-5,2025-01-31,Coolant shortage,Calibrated oven temperature and added monitoring alert,2025-02-02
D1298,Surface Crack,MCH-409,Line-4,2025-02-16,High machine vibration,Refilled coolant tank and fixed coolant flow sensor,2025-02-17
D1299,Leakage,MCH-148,Line-3,2025-08-04,Improper curing temperature,Calibrated equipment and updated calibration logs,2025-08-05
D1300,Dimension Out of Tolerance,MCH-239,Line-4,2025-05-15,Operator error,Secured wiring and scheduled preventive inspection,2025-05-17
D1301,Leakage,MCH-265,Line-2,2025-03-03,High machine vibration,Introduced torque check checklist and operator training,2025-03-05
D1302,Overheating,MCH-395,Line-3,2025-08-22,Gas flow inconsistency,Replaced cutting tool and added tool inspection schedule,2025-08-23
D1303,Loose Assembly,MCH-345,Line-2,2025-06-26,Improper calibration,Polished die and added regular inspection routine,2025-07-01
D1304,Burr Formation,MCH-358,Line-3,2025-08-01,High machine vibration,Refilled coolant tank and fixed coolant flow sensor,2025-08-05
D1305,Burr Formation,MCH-368,Line-2,2025-04-22,Seal failure,Replaced cutting tool and added tool inspection schedule,2025-04-24
D1306,Surface Crack,MCH-250,Line-3,2025-08-12,Gas flow inconsistency,Secured wiring and scheduled preventive inspection,2025-08-13
D1307,Welding Porosity,MCH-454,Line-4,2025-01-20,Improper curing temperature,Adjusted machine alignment and replaced worn-out bearings,2025-01-22
D1308,Burr Formation,MCH-499,Line-5,2025-01-25,Coolant shortage,Secured wiring and scheduled preventive inspection,2025-01-28
D1309,Leakage,MCH-356,Line-1,2025-06-23,Coolant shortage,Replaced gas regulator and trained operator,2025-06-25
D1310,Loose Assembly,MCH-277,Line-5,2025-04-03,Gas flow inconsistency,Adjusted machine alignment and replaced worn-out bearings,2025-04-07
D1311,Overheating,MCH-271,Line-3,2025-03-07,Improper curing temperature,Calibrated equipment and updated calibration logs,2025-03-11
D1312,Paint Peeling,MCH-496,Line-1,2025-08-10,Loose wiring,Calibrated equipment and updated calibration logs,2025-08-14
D1313,Burr Formation,MCH-398,Line-2,2025-07-01,Operator error,Introduced torque check checklist and operator training,2025-07-02
D1314,Paint Peeling,MCH-276,Line-5,2025-06-27,Operator error,Secured wiring and scheduled preventive inspection,2025-06-30
